shortname,question_title,type,page,place
os_devenv,On which operating systems are your development environments?,CHECKBOX,4,5
app_type_money,What types of applications do you develop for a living / for money?,CHECKBOX,4,6
dev_for_mobile_os,For which mobile operating systems do you develop?,CHECKBOX,7,1
db_adopt,"Do you plan to adopt / migrate to other databases in the next 12 months? If so, to which ones? ",CHECKBOX,15,1
proglang,What programming languages have you used in the last 12 months?,CHECKBOX,8,2
tools_ci,Which Continuous Integration (CI) systems do you regularly use?,CHECKBOX,19,3
tools_it,Which Issue Tracking systems do you regularly use?,CHECKBOX,19,4
tools_vcs,"Which Version Control systems do you regularly use, if any?",CHECKBOX,20,2
contribute_os,Do you contribute to open-source projects?,RADIO,45,4
hours_code_job,How many hours a week do you spend coding for your day job (or primary activity)?,RADIO,45,2
tools_adopted,Which of the following kinds of tools have you / your team <strong>adopted</strong> in the past 12 months?,CHECKBOX,19,1
unittests_how,How do you do unit testing in your projects?,RADIO,14,4
team_size,What size is your project team?,RADIO,50,1
advocate,Do you advocate for the development tools you like within your organization / with your colleagues?,RADIO,49,6
team_distributed,How is your team distributed?,RADIO,50,4
java_version,Which versions of <u>Java</u> do you regularly use?,CHECKBOX,22,2
java_app_server,"What application servers do you regularly use, if any?",CHECKBOX,22,3
java_app_frameworks,"Which frameworks do you use as an alternative to an application server, if any?",CHECKBOX,22,4
java_package,How do you package your web applications?,CHECKBOX,22,5
java_web_frameworks,"What web frameworks do you use, if any?",CHECKBOX,22,7
java_buildsystem,"Which build systems do you regularly use, if any?",CHECKBOX,22,8
company_size,How many people work for your company / organization?,RADIO,49,1
job_role,Which of the following best describes your job role regardless to your position level?,CHECKBOX,4,3
country,What country do you live in?,MENU,51,4
age_range,Could you tell us your age range?,RADIO,51,3
adopt_proglang,"Do you plan to adopt / migrate to other languages in the next 12 months? If so, to which ones? ",CHECKBOX,11,2
cloud_services,Which cloud services do you use? ,CHECKBOX,44,5
tools_cloud,Do you use any of the following tools in cloud?,CHECKBOX,20,1
where_sources,Where do you keep your source code?,CHECKBOX,20,3
vc_service,"Which Version Control Services do you regularly use, if any?",CHECKBOX,20,4
ide_customise,Do you customize your IDE / editor? ,CHECKBOX,21,1
java_ee,"Which versions of Java EE (EE4J) do you regularly use, if any?",CHECKBOX,22,9
java_profiler,"Which JVM profilers do you regularly use, if any?",CHECKBOX,22,10
java_ide,Which IDE / editor do you use the most for Java development? ,RADIO,22,11
c_standart,Which <u>C</u> standard do you regularly use?,CHECKBOX,23,2
c_ide,Which IDE / editor do you use the most?,RADIO,23,3
c_unittesting,"Which unit-testing frameworks do you regularly use, if any?",CHECKBOX,23,4
c_projectmodels,"Which project models or build systems do you regularly use, if any?",CHECKBOX,23,5
c_compilers,Which compilers do you regularly use?,CHECKBOX,23,7
cpp_standart,Which <u>C++</u> standards do you regularly use?,CHECKBOX,24,2
cpp_standart_migrate,"Do you plan to move to a newer C++ standard in the next 12 months? If so, to which one?",RADIO,24,3
cpp_ide,Which IDE / editor do you use the most for C++ development?,RADIO,24,5
cpp_unittesting,"Which unit-testing frameworks do you regularly use, if any?",CHECKBOX,24,6
cpp_projectmodels,"Which project models or build systems do you regularly use, if any?",CHECKBOX,24,8
cpp_compilers,Which compilers do you regularly use?,CHECKBOX,24,9
cpp_cli,Do you use C++ / CLI ?,RADIO,24,4
cpp_project_size,What is the typical size and complexity of your project(s)?,RADIO,24,12
python_vesion,Which version of <u>Python</u> do you use the most? ,RADIO,25,2
python_ide,Which IDE/editor do you use the most?,RADIO,25,8
csharp_version,What versions of <u>C#</u> do you regularly use?,CHECKBOX,26,2
csharp_runtimes,What runtimes do you regularly use?,CHECKBOX,26,3
csharp_frameworks,"Which technologies / frameworks do you use, if any? ",CHECKBOX,26,4
csharp_ide,Which IDE / editor do you use the most for C# development?,RADIO,26,5
csharp_vsversion,What version of Visual Studio do you use the most?,RADIO,26,9
csharp_unittesting,"Which unit-testing frameworks do you regularly use, if any?",CHECKBOX,26,11
csharp_performance,"What performance or diagnostic tools do you regularly use, if any?",CHECKBOX,26,12
php_version,Which version of <u>PHP</u> do you regularly use? ,RADIO,27,2
php_devenviron,Which PHP development environments do you regularly use?,CHECKBOX,27,3
php_debugger,"Which PHP debugger do you use, if any?",RADIO,27,4
php_ide,Which editor / IDE do you use the most?,RADIO,27,6
php_testing,"Which testing frameworks do you regularly use, if any?",CHECKBOX,27,7
js_frameworks,"What <u>JavaScript</u> frameworks do you regularly use, if any?",CHECKBOX,34,2
js_ide,What editor / IDE do you use the most?,RADIO,34,3
js_unittesting,"Which unit-testing frameworks / tools do you regularly use, if any? ",CHECKBOX,34,4
js_moduleloader,"What module loaders do you regularly use, if any?",CHECKBOX,34,5
ruby_version,Which version of <u>Ruby</u> do you use <u>the most</u>?,RADIO,29,2
ruby_gemmanagement,"Which gem management tools do you regularly use, if any?",CHECKBOX,29,5
ruby_gems_count,"How many gems have you authored, if any?",RADIO,29,6
ruby_frameworks,"What web development tools and / or frameworks do you regularly use, if any? ",CHECKBOX,29,7
ruby_rails_version,Which version of Rails do you use?,RADIO,29,8
ruby_servers,"Which servers do you regularly use in production, if any?",CHECKBOX,30,2
ruby_ide,What editors / IDE do you use the most?,RADIO,30,3
ruby_unittesting,"Which unit-testing frameworks do you regularly use, if any?",CHECKBOX,30,4
swiftoc_unittesting,"Which unit-testing frameworks do you regularly use, if any? ",CHECKBOX,31,5
swiftoc_ui_tests,Do you use UI tests?,RADIO,31,7
swiftoc_dependecymanager,"Which dependency manager do you use, if any? ",CHECKBOX,31,9
swiftoc_db_engine,Which database engine / framework combination do you use? ,CHECKBOX,31,10
swiftoc_build,How do you build your project?,CHECKBOX,31,13
swiftoc_linux,Do you develop with Swift on Linux?,RADIO,31,14
sql_mssql,Which version of Microsoft SQL Server do you use?,CHECKBOX,39,2
sql_mysql,Which version of MySQL do you use?,RADIO,39,4
sql_postgresql,Which version of PostgreSQL do you use?,RADIO,39,5
sql_db2,Which version of DB2 do you use?,RADIO,39,6
sql_sqlite,Which version of SQLite do you use?,RADIO,39,7
sql_tool,Which tools do you regularly use for working with databases?,CHECKBOX,39,8
use_static_analysis,Do you use static analysis?,RADIO,45,1
regularly_tools,Which of the following tools do you regularly use?,CHECKBOX,17,1
visit_meetups,Do you visit local meetups?,RADIO,46,5
it_experience,How long have you been working in the IT?,RADIO,51,1
ruby_rails_version_migrate,"Do you plan to move to a newer <u>Rails</u> version in the next 12 months? If so, to which one?",RADIO,30,1
scala_java_version,Which versions of <u>Java</u> do you regularly use?,CHECKBOX,32,4
